Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;MUJER;24;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;03-01-16;BOLETA;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;21-01-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 2;PICHINCHA;RUMIÑAHUI;REBELION Y ATENTADO;25-01-16;BOLETA;HOMBRE;53;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;27-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;29-01-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;29-01-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;29-01-16;FLAGRANTE;HOMBRE;14;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;01-01-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;01-01-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;01-01-16;FLAGRANTE;MUJER;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;01-01-16;FLAGRANTE;HOMBRE;20;COLOMBIA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;01-01-16;FLAGRANTE;HOMBRE;24;ECUADOR
